"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
540,"NCL","New Caledonia",0.09,0.09,0.09,0,0,0,0,0,0,0.27,0.63,2.61,15.21,16.02,15.75,15.39,13.41,0.81,0
554,"NZL","New Zealand",757.17,856.89,960.57,745.65,737.91,778.14,859.59,886.23,900.18,832.68,870.39,816.39,735.39,656.01,603.09,451.98,345.6,521.1,460.89
558,"NIC","Nicaragua",1.62,1.98,2.7,3.42,4.68,6.21,8.1,10.17,13.77,15.48,16.47,18.72,20.97,22.86,20.79,18.99,16.38,25.29,19.44
562,"NER","Niger",2614.14,3654.81,4365.63,3022.38,3449.07,4012.29,3181.14,2866.86,2876.4,2725.02,3149.1,4098.51,4510.71,4667.94,4438.53,3458.16,2448,1682.64,827.73
566,"NGA","Nigeria",1407.06,1881.54,2196.99,1704.42,1724.04,1447.74,1433.97,2052,2158.65,1997.55,2349.81,2356.92,1732.41,1620.09,1526.76,1346.67,980.55,813.06,657.36
570,"NIU","Niue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,"PRK","North Korea",10.8,12.96,16.47,15.12,18.54,25.02,56.97,74.79,93.69,102.42,103.32,91.17,80.55,67.14,56.97,51.84,34.02,35.46,32.67
807,"MKD","North Macedonia",0.81,1.44,2.97,3.6,5.22,5.76,10.98,12.96,14.49,16.56,17.91,19.71,20.61,18.63,15.21,13.59,6.3,3.42,3.87
578,"NOR","Norway",23.4,29.52,46.44,71.1,74.34,81.81,78.3,79.47,57.06,84.42,179.91,352.44,603.36,636.75,627.93,530.1,372.24,209.7,165.6
512,"OMN","Oman",114.3,114.3,114.3,41.49,27.27,27.27,27.27,28.08,25.2,0.81,0.81,0.81,0.27,0.27,0.27,0.27,0.27,0,0
586,"PAK","Pakistan",503.73,718.65,1321.74,1271.52,1646.01,1703.88,1892.07,1587.69,1733.31,1405.08,1438.74,1297.17,1119.15,980.28,941.76,817.2,623.52,946.17,804.51
585,"PLW","Palau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
